geneID	MH	US	GH	AN
GRMZM2G005732	1	0	1	0
GRMZM2G011357	1	1	1	0
GRMZM2G014902	1	0	0	0
GRMZM2G017087	0	0	0	0
GRMZM2G024973	0	0	0	0
GRMZM2G032339	1	0	1	1
GRMZM2G057935	0	0	0	0
GRMZM2G065276	0	0	0	1
GRMZM2G067702	1	1	1	1
GRMZM2G067921	0	0	0	0
GRMZM2G072582	1	1	0	1
GRMZM2G078798	0	1	0	0
GRMZM2G092174	0	0	0	0
GRMZM2G095727	0	0	0	0
GRMZM2G098813	0	0	1	0
GRMZM2G106363	0	1	1	1
GRMZM2G106613	1	1	1	0
GRMZM2G107101	0	0	0	1
GRMZM2G107945	1	1	0	0
GRMZM2G124532	0	1	0	0
GRMZM2G129889	0	0	1	0
GRMZM2G135446	1	1	1	0
GRMZM2G144744	0	0	0	0
GRMZM2G148693	1	1	1	1
GRMZM2G149786	0	0	0	0
GRMZM2G156079	0	0	0	0
GRMZM2G157727	1	0	1	1
GRMZM2G160730	0	1	1	1
GRMZM2G171365	0	0	0	1
GRMZM2G179264	1	1	1	1
GRMZM2G180190	0	1	0	1
GRMZM2G181028	0	0	0	0
GRMZM2G367834	0	1	1	0
GRMZM2G405368	0	1	1	0
GRMZM2G474769	1	1	0	0
GRMZM2G700665	1	1	1	1
GRMZM5G844173	1	1	0	1
GRMZM5G845755	0	0	1	0
GRMZM5G861678	0	0	0	0
