geneID	MH	US	GH	AN
GRMZM2G060265	1	0	0	1
GRMZM2G015384	0	0	1	0
GRMZM2G082227	0	0	0	0
GRMZM2G327059	0	0	0	0
GRMZM2G329159	0	0	0	0
GRMZM2G401342	1	0	0	1
GRMZM2G004641	1	0	0	1
GRMZM2G162749	0	1	0	0
GRMZM2G000686	1	1	0	0
GRMZM2G059102	0	1	1	0
GRMZM2G055018	0	0	0	0
GRMZM2G107395	0	0	0	0
GRMZM2G440543	0	1	1	0
GRMZM2G071343	0	0	0	1
GRMZM2G071217	0	0	0	0
GRMZM2G153799	0	0	0	0
GRMZM2G032423	0	0	0	0
GRMZM2G472693	1	1	1	1
GRMZM2G099522	1	1	0	1
GRMZM2G099797	0	0	0	0
GRMZM2G180452	0	1	1	0
GRMZM2G089812	1	1	0	1
GRMZM2G055263	1	0	1	0
AC233935.1_FG005	0	0	0	0
GRMZM2G043484	0	0	0	0
GRMZM2G124532	0	1	0	0
GRMZM2G317160	0	1	0	1
GRMZM2G158662	0	0	0	0
GRMZM2G083689	1	0	1	0
GRMZM2G134671	0	1	1	0
GRMZM2G169890	0	0	1	1
GRMZM2G061624	0	1	0	0
GRMZM2G156827	1	0	0	0
GRMZM2G084540	0	1	0	1
GRMZM2G382774	0	0	0	0
GRMZM2G137502	0	1	0	0
GRMZM2G477287	0	1	0	0
GRMZM2G030529	0	1	0	0
GRMZM2G064466	1	1	1	1
GRMZM2G125095	0	0	0	0
GRMZM2G079470	0	1	0	0
GRMZM2G154580	0	0	0	0
GRMZM2G062458	0	1	0	0
GRMZM2G180909	0	0	0	0
GRMZM2G098208	0	1	0	0
GRMZM2G123140	1	1	1	0
GRMZM2G057466	1	1	0	1
GRMZM2G321750	0	0	0	0
GRMZM2G123900	1	0	1	0
GRMZM2G131897	0	1	0	0
GRMZM2G069454	0	0	0	0
GRMZM2G130095	0	0	0	0
GRMZM2G018472	0	0	0	0
GRMZM2G165090	0	1	1	0
GRMZM2G003509	1	0	0	1
GRMZM2G361842	0	0	0	0
GRMZM2G099319	0	0	0	1
GRMZM2G113127	0	1	0	1
GRMZM2G160917	0	0	0	1
GRMZM2G169270	1	0	0	0
GRMZM2G046443	0	0	0	0
GRMZM2G148220	0	0	0	0
