geneID	MH	US	GH	AN
GRMZM2G062416	0	1	0	0
GRMZM2G452529	0	0	0	0
GRMZM2G110646	0	0	0	0
GRMZM2G353444	1	1	1	0
GRMZM2G481755	1	1	1	1
GRMZM2G154366	1	1	1	1
GRMZM5G861300	0	0	0	0
GRMZM2G098596	0	0	0	0
GRMZM2G460078	0	0	1	1
GRMZM5G893603	0	0	0	0
GRMZM2G045294	0	0	0	0
GRMZM2G055320	1	0	1	1
GRMZM2G002043	0	0	0	0
GRMZM2G034271	0	0	0	0
GRMZM2G042295	0	1	0	1
GRMZM2G079109	0	1	1	0
GRMZM2G095757	0	0	0	1
GRMZM2G108912	0	0	0	0
GRMZM2G124313	0	1	0	0
GRMZM2G160452	0	0	0	0
GRMZM2G326734	0	1	0	0
GRMZM2G427729	1	1	1	1
GRMZM5G863550	0	0	0	0
AC234154.1_FG008	0	0	1	1
GRMZM2G034276	1	1	1	0
GRMZM2G058149	1	1	1	0
GRMZM2G079236	1	0	1	0
GRMZM2G131378	0	0	0	0
GRMZM2G414047	0	0	0	0
GRMZM5G878139	0	1	1	1
AC194158.3_FG005	0	0	0	0
AC217811.3_FG002	0	0	0	0
GRMZM2G000652	0	0	0	0
GRMZM2G050658	0	1	0	1
GRMZM2G061568	0	0	0	0
GRMZM2G061885	0	0	0	0
GRMZM2G072578	1	0	1	1
GRMZM2G078114	0	0	0	0
GRMZM2G098667	0	0	0	1
GRMZM2G104847	0	0	0	0
GRMZM2G117153	0	0	0	0
GRMZM2G119079	0	0	0	1
GRMZM2G122943	0	1	0	1
GRMZM2G124042	0	0	1	0
GRMZM2G124759	0	1	0	1
GRMZM2G129344	0	0	0	0
GRMZM2G156729	1	0	0	1
GRMZM2G169089	0	0	0	0
GRMZM2G174511	0	0	0	0
GRMZM2G174860	0	0	0	1
GRMZM2G175453	0	0	0	0
GRMZM2G347836	0	1	0	1
GRMZM5G825110	0	0	0	0
GRMZM5G836977	0	0	1	1
GRMZM5G874840	0	0	0	1
GRMZM2G019029	0	0	0	0
GRMZM2G024144	1	1	0	0
GRMZM2G050641	1	1	1	1
GRMZM2G059381	0	0	0	0
GRMZM2G059637	0	0	0	0
GRMZM2G100333	1	1	0	0
GRMZM2G100652	1	1	1	1
GRMZM2G107629	1	0	0	0
GRMZM2G117064	1	1	1	0
GRMZM2G447433	1	0	0	0
AC231411.1_FG011	0	0	0	0
AC233887.1_FG006	1	0	0	0
AC233916.1_FG002	0	0	0	0
GRMZM2G001814	0	0	0	0
GRMZM2G002135	0	0	0	1
GRMZM2G002993	0	0	0	0
GRMZM2G005052	1	0	0	0
GRMZM2G007157	0	0	0	0
GRMZM2G014303	0	0	0	0
GRMZM2G014981	0	0	0	0
GRMZM2G015126	0	0	0	0
GRMZM2G020320	0	0	0	0
GRMZM2G021106	0	0	0	0
GRMZM2G021807	0	0	0	0
GRMZM2G024615	0	0	0	0
GRMZM2G027043	1	1	0	0
GRMZM2G029756	0	0	0	1
GRMZM2G030223	0	1	1	1
GRMZM2G031435	0	1	0	0
GRMZM2G032143	0	0	0	0
GRMZM2G033767	0	0	0	0
GRMZM2G033820	0	0	0	0
GRMZM2G034697	1	0	0	0
GRMZM2G037104	1	1	1	0
GRMZM2G040613	0	1	0	1
GRMZM2G042356	0	0	0	0
GRMZM2G042897	0	1	1	1
GRMZM2G043340	0	0	0	0
GRMZM2G045970	0	1	0	0
GRMZM2G048470	0	0	0	1
GRMZM2G049190	0	0	0	0
GRMZM2G051288	0	1	1	0
GRMZM2G053322	0	0	1	0
GRMZM2G053711	0	0	0	0
GRMZM2G054559	0	0	0	0
GRMZM2G058414	0	1	0	0
GRMZM2G059445	1	0	1	0
GRMZM2G060886	0	0	0	1
GRMZM2G061969	1	0	0	0
GRMZM2G062377	0	0	0	0
GRMZM2G064590	0	1	1	1
GRMZM2G065203	0	0	0	0
GRMZM2G066485	0	0	0	0
GRMZM2G067764	0	1	1	0
GRMZM2G070304	0	0	0	0
GRMZM2G072298	0	0	0	0
GRMZM2G075295	0	0	0	0
GRMZM2G077187	0	0	0	0
GRMZM2G077375	0	0	0	0
GRMZM2G080940	0	0	0	0
GRMZM2G083195	1	1	0	0
GRMZM2G085926	0	0	0	0
GRMZM2G087146	0	0	1	1
GRMZM2G087850	0	0	0	0
GRMZM2G091956	0	0	0	0
GRMZM2G092588	0	0	0	0
GRMZM2G095763	1	1	1	0
GRMZM2G096831	0	0	0	1
GRMZM2G097704	0	0	0	0
GRMZM2G099481	1	0	0	1
GRMZM2G100766	1	1	1	1
GRMZM2G101875	0	1	0	1
GRMZM2G103281	0	0	0	0
GRMZM2G105362	0	0	0	0
GRMZM2G107838	0	0	1	0
GRMZM2G109967	0	1	1	1
GRMZM2G110287	0	0	0	0
GRMZM2G110834	0	0	0	0
GRMZM2G111319	0	0	0	0
GRMZM2G114036	1	1	0	0
GRMZM2G114778	1	0	0	0
GRMZM2G115612	0	0	0	0
GRMZM2G117378	0	0	0	0
GRMZM2G117627	0	0	0	0
GRMZM2G118286	1	1	0	0
GRMZM2G122296	0	0	0	0
GRMZM2G123764	0	0	0	1
GRMZM2G123987	0	0	0	0
GRMZM2G124921	0	0	0	0
GRMZM2G125083	0	0	0	1
GRMZM2G130749	0	0	0	0
GRMZM2G130864	0	0	0	0
GRMZM2G132898	0	1	0	0
GRMZM2G133885	0	1	0	0
GRMZM2G133943	1	0	1	0
GRMZM2G135027	1	1	0	0
GRMZM2G140811	0	0	1	1
GRMZM2G141320	0	0	0	0
GRMZM2G142873	0	0	0	0
GRMZM2G145179	0	0	0	0
GRMZM2G147917	1	0	0	0
GRMZM2G152127	0	1	0	1
GRMZM2G153672	0	1	1	1
GRMZM2G154523	0	0	0	0
GRMZM2G154687	0	0	0	0
GRMZM2G155357	0	0	0	0
GRMZM2G158008	0	0	0	1
GRMZM2G159125	0	1	1	1
GRMZM2G159890	1	0	1	0
GRMZM2G165681	0	0	1	0
GRMZM2G166176	0	0	1	0
GRMZM2G166971	0	0	0	0
GRMZM2G170400	0	0	0	1
GRMZM2G171229	0	0	0	0
GRMZM2G174343	0	1	0	0
GRMZM2G177150	1	1	0	0
GRMZM2G178892	0	0	0	1
GRMZM2G179792	0	0	0	0
GRMZM2G305809	0	0	0	0
GRMZM2G309152	1	1	1	0
GRMZM2G312438	0	0	0	0
GRMZM2G321290	0	0	0	0
GRMZM2G331720	0	0	0	0
GRMZM2G339336	0	0	0	0
GRMZM2G349603	0	0	0	0
GRMZM2G349749	0	0	0	0
GRMZM2G350658	0	0	0	0
GRMZM2G359904	1	0	0	0
GRMZM2G368610	0	0	0	0
GRMZM2G406951	0	0	0	0
GRMZM2G414278	0	0	0	0
GRMZM2G425249	0	0	0	0
GRMZM2G426556	0	1	1	1
GRMZM2G447876	0	0	0	0
GRMZM2G451314	0	1	0	0
GRMZM2G451672	1	0	0	0
GRMZM2G466281	0	0	0	1
GRMZM2G469409	0	1	0	0
GRMZM2G471240	0	0	0	0
GRMZM2G477340	0	0	0	0
GRMZM2G477503	1	1	0	0
GRMZM2G483624	0	0	0	0
GRMZM2G701058	0	1	0	0
GRMZM5G804759	0	0	0	0
GRMZM5G812228	0	0	0	0
GRMZM5G812425	0	0	0	0
GRMZM5G814389	0	0	0	1
GRMZM5G817559	0	0	0	0
GRMZM5G818106	0	0	0	0
GRMZM5G818213	0	1	0	0
GRMZM5G831474	1	1	1	0
GRMZM5G832114	0	0	0	0
GRMZM5G847599	0	0	0	0
GRMZM5G865811	0	0	0	0
GRMZM5G865943	0	0	0	1
GRMZM6G781015	0	0	0	0
